ID;NOMBRE;OBSERVACIONES;DEPARTAMENTO
1;guardia;Guardias para cuando falte profesor;
43208;BDD-1º de CFGS (LOE) - Desarrollo de Aplicaciones Web;Bases de Datos;
43588;DWEC-2º de CFGS (LOE) - Desarrollo de Aplicaciones Web;Desarrollo web en entorno cliente;
43590;DWES-2º de CFGS (LOE) - Desarrollo de Aplicaciones Web;Desarrollo web en entorno servidor;
43592;DAW-2º de CFGS (LOE) - Desarrollo de Aplicaciones Web;Despliegue de aplicaciones web;DEPARTAMENTO DE INFORMÁTICA
43594;DIW-2º de CFGS (LOE) - Desarrollo de Aplicaciones Web;Diseño de interfaces WEB;
43696;EIE-2º de CFGS (LOE) - Desarrollo de Aplicaciones Web;Empresa e iniciativa emprendedora;DEPARTAMENTO DE INFORMÁTICA
43214;ENDES-1º de CFGS (LOE) - Desarrollo de Aplicaciones Web;Entornos de desarrollo;
43698;FCT-2º de CFGS (LOE) - Desarrollo de Aplicaciones Web;Formación en Centros de Trabajo;
46444;FOL-1º de CFGS (LOE) - Administración y Finanzas;Formación y orientación laboral;
44200;FOL-CFGS (LOE) - Desarrollo de Aplicaciones Web;Formación y Orientación Laboral;DEPARTAMENTO DE FORMACIÓN Y ORIENTACIÓN LABORAL
44196;FOL-1º de CFGS (LOE) - Desarrollo de Aplicaciones Web;Formación y Orientación Laboral;DEPARTAMENTO DE FORMACIÓN Y ORIENTACIÓN LABORAL
44194;ING-1º de CFGS (LOE) - Desarrollo de Aplicaciones Web;Inglés técnico para CFGS de la familia profesional Informática y Comunicaciones;
44198;ING-CFGS (Mod. Presencial) (LOE) - Desarrollo de Aplicaciones Web;Inglés técnico para CFGS de la familia profesional Informática y Comunicaciones;
43212;LMSGI-1º de CFGS (LOE) - Desarrollo de Aplicaciones Web;Lenguajes de marcas y sistemas de gestión de información;
43210;PROG-1º de CFGS (LOE) - Desarrollo de Aplicaciones Web;Programación;DEPARTAMENTO DE INFORMÁTICA
44176;PDAW-2º de CFGS (LOE) - Desarrollo de Aplicaciones Web;Proyecto de desarrollo de aplicaciones Web;
43206;SISIN-1º de CFGS (LOE) - Desarrollo de Aplicaciones Web;Sistemas Informáticos;